what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741705891
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267741714478
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267741721143
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1267741726492
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741726782
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741728601
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741732607
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741735038
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267741740292
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267742041946
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267742049525
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743222847
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1267743237314
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743247796
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743509734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743513558
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743516144
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743518070
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743643175
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267743646221
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267743733021
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267750973556
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267750992195
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267750993929
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267751023948
