what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267660609428
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267660628901
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1267660633773
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1267660651462
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267660679924
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267660713237
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267660765023
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267660780501
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660867783
error,log,,,"Exception occurred while creating compilation participant",1267660867786
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660871831
error,log,,,"Exception occurred while creating compilation participant",1267660871835
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267660873502
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660874380
error,log,,,"Exception occurred while creating compilation participant",1267660874384
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660885921
error,log,,,"Exception occurred while creating compilation participant",1267660885924
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660890469
error,log,,,"Exception occurred while creating compilation participant",1267660890473
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660918509
error,log,,,"Exception occurred while creating compilation participant",1267660918511
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660922576
error,log,,,"Exception occurred while creating compilation participant",1267660922580
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1267660924626
error,log,,,"Exception occurred while creating compilation participant",1267660924629
